id,Company,Country,Industry,Sales (M),Profits (M),Assets (M),Market Value (M),Employee
636,China National Petroleum,China,Petroleum Refining,299271,7091,621242,-,1589508
637,China Nonferrous Metal Mining (Group),China,"Mining, Crude-Oil Production",27189,(463),19332,-,51263
638,China North Industries Group,China,Aerospace and Defense,61621,803 ,51870,-,241309
639,China Pacific Insurance,China,Life & Health Insurance,39300,2800,139500,37100,-
640,China Pacific Insurance (Group),China,"Insurance: Life, Health (stock)",39336,2821,142270,-,91761
641,China Poly Group,China,Real estate,26675,840 ,91455,-,70437
642,China Post Group,China,"Mail, Package, and Freight Delivery",69637,4194,"1,157,379 ",-,938494
643,China Power International Development,China,Electric Utilities,3300,663,13300,3500,-
644,China Railway Construction,China,Construction Services,92600,2000,107200,21600,-
645,China Railway Engineering,China,"Engineering, Construction",99435,983 ,110319,-,281824
646,China Railway Group,China,Construction Services,96000,1900,109900,25500,-
647,China Reinsurance Group,China,Diversified Insurance,13500,1200,50700,11000,-
648,China Resources Enterprise,Hong Kong,Food Retail,22700,-20,6600,5100,-
649,China Resources Land,Hong Kong,Real Estate,13700,2300,50200,17400,-
650,China Resources National,China,General Merchandisers,76574,2489,153154,-,447348
651,China Resources Power,Hong Kong,Electric Utilities,9200,1300,26800,8800,-
652,China Shenhua Energy,China,Diversified Metals & Mining,27300,2600,85300,43100,-
653,China Shipbuilding Industry,China,Heavy Equipment,9800,-58,32800,18200,-
654,China Southern Airlines,China,Airline,17700,620,28700,8400,-
655,China Southern Power Grid,China,Utilities,74697,2223,98560,-,303301
656,China State Construction Engineering,China,Construction Services,135000,4100,165600,25600,-
657,China Steel,Taiwan,Iron & Steel,9000,240,20600,11100,-
658,China Taiping Insurance,Hong Kong,Diversified Insurance,20700,785,58600,7700,-
659,China Telecom,China,Telecommunications services,52700,3200,97000,41000,-
660,China Telecommunications,China,Telecommunications,61796,1716,118994,-,417101
661,China Unicom,China,Telecommunications services,43000,1300,92700,29100,-
662,China United Network Communications,China,Telecommunications,44085,552 ,94758,-,231299
663,China Vanke,China,Real Estate,31100,2900,94100,27700,-
664,China Yangtze Power,China,Electric Utilities,3900,1900,22600,41800,-
665,China Zheshang Bank,China,Regional Banks,5700,827,158000,9100,-
666,Chinatrust Financial,Taiwan,Regional Banks,7900,1100,139900,9100,-
667,Chinese Estates,Hong Kong,Real Estate,199,997,8100,4700,-
668,Ching Chan Optical Technology,TAIWAN,-,23,4,-,58,-
669,Chipotle Mexican Grill,United States,Restaurants,4500,476,2700,13100,-
670,Chlitina Holding,TAIWAN,-,138,37,-,455,-
671,Chongqing Changan Auto,China,Auto & Truck Manufacturers,10200,1600,13800,8200,-
672,Chongqing Rural Bank,China,Regional Banks,5900,1200,110400,4900,-
673,Chow Tai Fook Jewellery,Hong Kong,Apparel/Accessories,8100,557,7700,7100,-
674,Christian Dior,France,Apparel/Accessories,41600,1700,68100,31400,-
675,CHS,U.S.,Food Production,34582,781 ,15228,-,12511
676,Chubb,Switzerland,Property & Casualty Insurance,19200,2800,102400,55300,-
677,Chubu Electric Power,Japan,Electric Utilities,24500,1300,45300,10100,-
678,Chugoku Bank,Japan,Regional Banks,980,211,64600,2200,-
679,Chugoku Electric Power,Japan,Electric Utilities,10400,224,25200,4800,-
680,Chunghwa Telecom,Taiwan,Telecommunications services,7300,1300,13800,26500,-
681,Church & Dwight,United States,Household/Personal Care,3400,410,4300,11800,-
682,CIC Group,France,Regional Banks,12300,1200,275900,7400,-
683,Cielo,Brazil,Business & Personal Services,3300,1100,7600,20600,-
684,Ciena,U.S.,Network and Other Communications Equipment,2446,12 ,2695,2616,5345
685,Cigna,United States,Managed Health Care,38000,2100,58000,36300,-
686,CIMB Group Holdings,Malaysia,Regional Banks,5900,729,107700,10700,-
687,Cincinnati Financial,United States,Diversified Insurance,5200,634,19300,10600,-
688,Cinemark Holdings,U.S.,Entertainment,2853,217 ,4127,4154,17649
689,Cintas,United States,Business & Personal Services,4800,435,4200,9600,-
690,Cisco Systems,United States,Communications Equipment,49600,10300,112600,141700,-
691,CIT Group,United States,Consumer Financial Services,4000,1100,67500,6900,-
692,CITIC Group,China,Diversified Financials,55938,3764,884429,-,194795
693,Citic Pacific,Hong Kong,Iron & Steel,53800,5400,877800,45400,-
694,Citic Securities,China,Investment Services,9100,3200,94900,31100,-
695,Citigroup,United States,Major Banks,85900,15800,1801000,138100,-
696,Citizens Financial Group,United States,Regional Banks,5300,840,139100,12500,-
697,Citrix Systems,United States,Software & Programming,3300,374,5500,12800,-
698,City Developments,Singapore,Real Estate,2400,562,14300,6000,-
699,CJ Cheiljedang,South Korea,Food Processing,11400,167,11700,4200,-
700,CJ Corp,South Korea,Food Processing,18700,182,20100,5400,-
701,CK Hutchison,Hong Kong,Conglomerates,21500,5900,133300,48200,-
702,Clark Enterprises,United States,Construction,4100,-,-,-,4200
703,Clean Harbors,U.S.,Waste Management,3275,44 ,3431,2842,12900
704,ClicksMob,United States,Business Services & Supplies,10 ,-,-,-,31
705,Cliffs Natural Resources,U.S.,"Mining, Crude-Oil Production",2418,(749),2136,540 ,2638
706,Clorox,United States,Household/Personal Care,5700,686,4200,15900,-
707,CLP Holdings,Hong Kong,Electric Utilities,10400,2000,26300,23600,-
708,CME Group,United States,Investment Services,3300,1200,67500,31900,-
709,CMS Energy,United States,Electric Utilities,6500,523,20300,11000,-
710,CNH Industrial,United Kingdom,Heavy Equipment,26400,236,49100,10100,-
711,CNO Financial Group,United States,Life & Health Insurance,3900,271,31100,3500,-
712,CNOOC,China,Oil & Gas Operations,27300,3200,102300,58000,-
713,CNP Assurances,France,Diversified Insurance,46800,1300,426800,11700,-
714,Coach,United States,Apparel/Footwear Retail,4200,366,4600,11200,-
715,Coal India,India,Diversified Metals & Mining,11800,2200,17900,27300,-
716,Coca-Cola,United States,Beverages,43500,7300,91300,192800,-
717,Coca-Cola Enterprises,United States,Beverages,7000,596,7600,11800,-
718,Coca-Cola European Partners,U.S.,Beverages,6540,596 ,7611,11547,11500
719,Coca-Cola HBC,Switzerland,Beverages,7000,311,7100,7300,-
720,Code42,United States,IT Software & Services,65 ,-,-,-,426
721,COFCO,China,Trading,64516,266 ,70682,-,121767
722,Cognizant Technology,United States,Computer Services,12400,1600,13100,36800,-
723,Cognizant Technology Solutions,U.S.,Information Technology Services,12416,1624,13065,38192,221700
724,Colfax,U.S.,Industrial Machinery,3967,168 ,6733,3509,17087
725,Colgate-Palmolive,United States,Household/Personal Care,16000,1400,12000,61600,-
726,Collective Bias,United States,Media,21 ,-,-,-,104
727,Colonial Group,United States,Oil & Gas Operations,3000,-,-,-,900
728,COLOPL,JAPAN,-,607,163,-,2335,-
729,Coloplast,Denmark,Medical Equipment & Supplies,2100,138,1600,16000,-
730,Colruyt,Belgium,Food Retail,10400,380,4400,8500,-
731,Columbia Pipeline Group,United States,Oil & Gas Operations,1300,267,10400,10300,-
732,Columbia Sportswear,U.S.,Apparel,2326,174 ,1846,4165,5978
733,Com2us,SOUTH KOREA,-,383,111,-,1148,-
734,Combatant Gentlemen,United States,Retailing,10 ,-,-,-,26
735,Comcast,United States,Broadcasting & Cable,74500,8200,166600,148200,-
736,Comerica,United States,Major Banks,2800,456,69000,7700,-
737,Commercial Bank For Investment & Development Of Vietnam,Vietnam,Regional Banks,2600,287,37800,2600,-
738,Commercial Bank of Qatar,Qatar,Regional Banks,1600,342,33900,3400,-
739,Commercial International Bank,Egypt,Regional Banks,2300,613,22900,5500,-
740,Commercial Metals,U.S.,Metals,6162,142 ,3372,1944,9126
741,Commerzbank,Germany,Regional Banks,18700,1200,587600,11800,-
742,Commonwealth Bank,Australia,Major Banks,33100,6900,657000,99200,-
743,Commonwealth Bank of Australia,Australia,Banks: Commercial and Savings,37680,7537,671156,-,45948
744,CommScope Holding,U.S.,Network and Other Communications Equipment,3808,(71),7503,5355,23000
745,Community Health Systems,United States,Healthcare Services,19400,163,26900,2400,-
746,Compal Electronics,Taiwan,Computer Hardware,26700,274,10000,2700,-
747,Companhia Brasileira de Distribuicao,Brazil,Food Retail,20700,75,12000,3400,-
748,Compass Group,United Kingdom,Restaurants,27200,1300,13300,28900,-
749,Computer Sciences,United States,Computer Services,10100,379,8000,4600,-
750,ConAgra Foods,United States,Food Processing,12900,-593,13200,19500,-
751,Conair,United States,Household & Personal Products,2200,-,-,-,3478
752,Concho Resources,United States,Oil & Gas Operations,2400,64,12800,15000,-
753,ConocoPhillips,United States,Oil & Gas Operations,29400,-4400,97500,59000,-
754,Consol Energy,U.S.,"Mining, Crude-Oil Production",3114,(375),10930,2590,3114
755,Consolidated Edison,United States,Electric Utilities,12500,1200,45600,21000,-
756,Consolidated Elec Distributors,United States,Capital Goods,4400,-,-,-,6200
757,Constellation Brands,United States,Beverages,6500,1100,17000,30900,-
758,Contently,United States,Media,7 ,-,-,-,-
759,ContextMedia,United States,Health Care Equipment & Svcs,30 ,-,-,-,104
760,Continental,Germany,Auto & Truck Parts,43500,3000,36700,43700,-
761,Continental Grain Company,United States,"Food, Drink & Tobacco",2600,-,-,-,11000
762,Continental Resources,United States,Oil & Gas Operations,2600,-354,15400,14400,-
763,Convergys,U.S.,Diversified Outsourcing Services,2951,169 ,2358,2682,130000
764,Coop Group,Switzerland,Food and Drug Stores,26916,432 ,17642,-,67877
765,Cooper Tire & Rubber,U.S.,Motor Vehicles and Parts,2973,213 ,2436,2056,9119
766,Cooper-Standard Holdings,U.S.,Motor Vehicles and Parts,3343,112 ,2304,1235,29000
767,Core-Mark Holding,U.S.,Wholesalers: Food and Grocery,8858,52 ,1077,1888,6655
768,Core-Mark Holding Company,United States,Trading Companies,11100,52,1100,1800,-
769,Corning,United States,Communications Equipment,9100,1300,28500,23100,-
770,Corporacion Geo,Mexico,Real Estate,36,1300,880,237,-
771,Corporate Travel Management,AUSTRALIA,-,164,22,-,1073,-
772,Corporation Bank,India,Regional Banks,3400,94,36100,629,-
773,Cosmo Energy Holdings,Japan,Oil & Gas Operations,20000,-530,11400,1100,-
774,Costco,U.S.,Specialty Retailers,116199,2377,33440,-,161000
775,Costco Wholesale,United States,Discount Stores,117300,2300,32400,65800,-
776,Coty,United States,Household/Personal Care,4300,311,6500,9900,-
777,Couche Tard,Canada,Food Retail,34100,1100,11200,24500,-
778,Country Financial,U.S.,Insurance: Property and Casualty (Mutual),3506,173 ,15030,-,3343
779,Country Garden Holdings,China,Real Estate,18100,1500,55700,9100,-
780,Cox Enterprises,United States,Media,18100,-,-,-,55000
781,CP All,Thailand,Food Retail,11400,399,9100,11800,-
782,CPC,Taiwan,Petroleum Refining,24362,(45),22593,-,14685
783,CPXi,United States,Multicompany,116 ,-,-,-,153
784,CR Bard,United States,Medical Equipment & Supplies,3400,131,4900,15200,-
785,Cracker Barrel Old Country Store,U.S.,Food Services,2842,164 ,1576,3655,72000
786,Craftsy,United States,Services,43 ,-,-,-,221
787,Crane,U.S.,Industrial Machinery,2741,229 ,3342,3139,11200
788,Credicorp,Peru,Regional Banks,4900,973,45600,11300,-
789,Credit Agricole,France,Regional Banks,38200,3900,1661300,29900,-
790,Credit Suisse Group,Switzerland,Investment Services,34800,-3100,820000,30300,-
791,Credito Emiliano,Italy,Regional Banks,1700,184,40700,2400,-
792,Credito Valtellinese,Italy,Regional Banks,1300,131,29200,844,-
793,Crescent Point Energy,Canada,Oil & Gas Operations,1800,-680,12700,8700,-
794,Crestwood Equity Partners,U.S.,Energy,2633,"(1,667)",5804,806 ,1300
795,CRH,Ireland,Construction Materials,26200,803,34800,23400,-
796,CrowdStrike,United States,IT Software & Services,13 ,-,-,-,160
797,Crowley Maritime,United States,Transportation,2200,-,-,-,5400
798,Crown Castle International,United States,Telecommunications services,3700,467,21700,29600,-
799,Crown Equipment,United States,Capital Goods,2600,-,-,-,13200
800,Crown Holdings,United States,Containers & Packaging,8700,428,9900,7500,-
801,CRRC,China,Heavy Equipment,38200,1900,48000,38800,-
802,Cr√©dit Agricole,France,Banks: Commercial and Savings,84099,3900,"1,661,119 ",-,71499
803,CSL,Australia,Biotechs,5800,1400,7500,37000,-
804,CSN,Brazil,Iron & Steel,4600,377,12300,5200,-
805,CST Brands,United States,Specialty Stores,11000,150,3800,2900,-
806,CSX,United States,Railroads,11400,1900,34600,26300,-
807,Ctrip.com International,China,Business & Personal Services,1700,397,18300,21200,-
808,CUB Elecparts,TAIWAN,-,89,35,-,977,-
809,Cullen/Frost Bankers,United States,Regional Banks,1100,278,28700,3800,-
810,Cumberland Gulf Group,United States,Convenience Stores & Gas Stations,16500,-,-,-,7200
811,Cummins,United States,Heavy Equipment,19100,1400,15100,19800,-
812,CUNA Mutual Group,U.S.,"Insurance: Life, Health (stock)",3135,217 ,17270,-,3722
813,Cupid Limited,INDIA,-,9,2,-,47,-
814,Curtiss-Wright,U.S.,Aerospace and Defense,2264,146 ,3029,3376,8400
815,CVS Health,United States,Drug Retail,153300,5200,93700,110800,-
816,CW Group Holdings,CHINA / HONG KONG,-,317,28,-,171,-
817,D&H Distributing,United States,Technology Hardware & Equipment,3500,-,-,-,1219
818,D&L Industries,PHILIPPINES,-,430,50,-,1464,-
819,D.R. Horton,U.S.,Homebuilders,10824,751 ,11151,11178,6230
820,Daewoo Securities,South Korea,Investment Services,1200,264,29700,2400,-
821,Dah Sing Financial Holdings,Hong Kong,Regional Banks,1100,251,27500,2200,-
822,Dai Nippon Printing,Japan,Printing & Publishing,12100,243,14600,6700,-
823,Dai-ichi Life Insurance,Japan,Life & Health Insurance,55700,1500,416700,15600,-
824,Daiichi Sankyo,Japan,Pharmaceuticals,8400,2900,16200,16900,-
825,Daikin Industries,Japan,Construction Materials,16800,1100,19300,23900,-
826,Daimler,Germany,Auto & Truck Manufacturers,165700,9300,235900,75400,-
827,Daishi Bank,Japan,Regional Banks,634,124,43300,1300,-
828,Daito Trust Construction,Japan,Construction Services,11700,543,5600,11200,-
829,Daiwa House Industry,Japan,Construction Services,25400,1300,26700,18800,-
830,Daiwa Securities,Japan,Investment Services,5600,1100,191400,11300,-
831,Dali Foods Group,China,Food Processing,2700,463,1300,8900,-
832,Damac Properties,United Arab Emirates,Real Estate,2100,1100,6400,4700,-
833,Dana Holding,U.S.,Motor Vehicles and Parts,6060,159 ,4326,2097,23100
834,Danaher,United States,Conglomerates,20900,2600,48200,66400,-
835,Dangote Cement,Nigeria,Construction Materials,2500,934,5600,13800,-
836,Danone,France,Food Processing,24900,1400,35500,46500,-
837,Danske Bank,Denmark,Regional Banks,11600,1900,479300,27200,-
838,Daqin Railway,China,Railroads,8600,2300,17000,15000,-
839,Darden Restaurants,United States,Restaurants,7000,341,4500,8000,-
840,Darling Ingredients,U.S.,Food Production,3397,79 ,4790,2167,10000
841,Dassault Aviation,France,Aerospace & Defense,4600,157,13300,10100,-
842,Dassault Systemes,France,Software & Programming,3200,466,7200,20200,-
843,Datang International Power,China,Electric Utilities,9700,452,47400,7400,-
844,Datong Coal Mine Group,China,"Mining, Crude-Oil Production",31958,(166),39738,-,164365
845,DaVita,United States,Healthcare Services,13800,270,18500,15400,-
846,DBS Group,Singapore,Regional Banks,9900,3200,322800,29300,-
847,DCC,Ireland,Conglomerates,15700,209,7300,7800,-
848,Dean Foods,U.S.,Food Consumer Products,8122,(9),2528,1588,16960
849,Deere,U.S.,Construction and Farm Machinery,28863,1940,57948,-,57180
850,Delaware North Cos,United States,Business Services & Supplies,3200,-,-,-,60000
851,Delek Group,Israel,Investment Services,2700,2,32600,2100,-
852,Delek US Holdings,U.S.,Petroleum Refining,5762,19 ,3325,947 ,4584
853,Delhaize Group,Belgium,Food Retail,27100,406,14200,10500,-
854,Dell,United States,Technology Hardware & Equipment,54900,-,-,-,101800
855,Deloitte,United States,Business Services & Supplies,35200,-,-,-,225000
856,Delphi Automotive,United Kingdom,Auto & Truck Parts,15200,1200,12000,20900,-
857,Delta Air Lines,United States,Airline,40500,4700,53300,34400,-
858,Delta Electronics,Taiwan,Electronics,6400,589,6900,12100,-
859,Delta Lloyd,Netherlands,Diversified Insurance,6600,142,79200,2400,-
860,Delta Tucker Holdings,U.S.,Aerospace and Defense,1923,(133),790 ,-,12000
861,Demoulas Super Markets,United States,Food Markets,4000,-,-,-,20000
862,Denso,Japan,Auto & Truck Parts,37300,2400,43800,36100,-
863,Dentsply Sirona,U.S.,Medical Products and Equipment,2674,251 ,4403,14900,11400
864,Dentsu,Japan,advertising,8600,767,25100,15700,-
865,Derwent London,United Kingdom,Real Estate,314,1200,7500,5100,-
866,Desarrolladora Homex,Mexico,Construction Services,24,1200,840,177,-
867,Deutsche Bahn,Germany,Railroads,44818,"(1,470)",60891,-,297202
868,Deutsche Bank,Germany,Major Banks,48300,-7500,1779700,26400,-
869,Deutsche Boerse,Germany,Investment Services,2600,738,195700,16300,-
870,Deutsche Lufthansa,Germany,Airline,35500,1900,36300,7300,-
871,Deutsche Pfandbriefbank,Germany,Regional Banks,2300,255,72500,1400,-
872,Deutsche Post,Germany,Air Courier,65700,1700,41400,35600,-
873,Deutsche Telekom,Germany,Telecommunications services,76800,3600,156300,81800,-
874,Devon Energy,United States,Oil & Gas Operations,15100,-14500,29500,18400,-
875,Dexia,Belgium,Regional Banks,725,181,250200,44,-
876,DGB Financial Group,South Korea,Regional Banks,2600,260,43700,1400,-
877,DIA,Spain,Discount Stores,9900,332,3800,3500,-
878,Diageo,United Kingdom,Beverages,16100,3800,39500,68600,-
879,Dick's Sporting Goods,United States,Specialty Stores,7300,330,3600,5300,-
880,Dick®πs Sporting Goods,U.S.,Specialty Retailers: Other,7271,330 ,3559,5373,25150
881,Diebold Nixdorf,U.S.,"Computers, Office Equipment",2768,74 ,2249,1883,16000
882,Digital Realty Trust,United States,Real Estate,1800,297,11500,12600,-
883,Dillard®πs,U.S.,General Merchandisers,6755,269 ,3866,3050,30600
884,DIP Corporation,JAPAN,-,222,39,-,1590,-
885,Diplomat Pharmacy,U.S.,Food and Drug Stores,3367,26 ,1006,1769,1616
886,Direct Line Insurance,United Kingdom,Diversified Insurance,4900,631,13200,6800,-
887,Discount Tire,United States,Retailing,4200,-,-,-,17955
888,Discover Financial Services,United States,Consumer Financial Services,10100,2300,88100,23400,-
889,Discovery Communications,United States,Broadcasting & Cable,6400,1000,15900,11800,-
890,DISH Network,United States,Broadcasting & Cable,15100,747,22900,23100,-
891,Disney,U.S.,Entertainment,52465,8382,88182,-,185000
892,Dixons Carphone,United Kingdom,Specialty Stores,12200,121,10500,7000,-
893,DNB,Norway,Regional Banks,9500,3000,293600,21100,-
894,Doha Bank,Qatar,Regional Banks,1000,359,23300,2600,-
895,Dole Food,United States,"Food, Drink & Tobacco",4500,-,-,-,25000
896,Dollar General,United States,Discount Stores,20400,1200,11500,23300,-
897,Dollar Tree,United States,Discount Stores,15500,282,16100,19000,-
898,Dominion Resources,United States,Electric Utilities,11600,1900,58800,43200,-
899,Domtar,U.S.,Forest and Paper Products,5264,142 ,5663,2538,9850
900,Donaldson,U.S.,Industrial Machinery,2371,208 ,1810,4242,12500
901,Dongbu Insurance,South Korea,Property & Casualty Insurance,11900,370,33500,4500,-
902,Dongfeng Motor Group,China,Auto & Truck Manufacturers,20200,1800,24800,9900,-
903,Dongwon Development,SOUTH KOREA,-,455,80,-,370,-
904,Dongwoon Anatech,SOUTH KOREA,-,50,7,-,60,-
905,Dongxing Securities,China,Investment Services,1300,325,11300,9500,-
906,Doosan,South Korea,Construction Services,16800,-346,26900,2000,-
907,Dot Foods,United States,"Food, Drink & Tobacco",5800,-,-,-,4500
908,Dover,United States,Conglomerates,6900,582,9000,10400,-
909,Dow Chemical,United States,Diversified Chemicals,48800,7600,68000,59000,-
910,DP World,United Arab Emirates,Other Transportation,4000,883,20300,15800,-
911,DPR Construction,United States,Construction,3000,-,-,-,2600
912,DR Horton,United States,Construction Services,10900,766,11200,11500,-
913,Dr Pepper Snapple Group,United States,Beverages,6300,764,8900,16200,-
914,Dr. Reddy's Laboratories,India,Pharmaceuticals,2400,381,3100,8000,-
915,Drummond,United States,Utilities,2200,-,-,-,6000
916,DSM,Netherlands,Diversified Chemicals,8600,98,13000,10300,-
917,DSME,South Korea,Heavy Equipment,13300,-2800,16300,1300,-
918,DST Systems,U.S.,Financial Data Services,2825,358 ,2813,3816,13420
919,DSV,Denmark,Trucking,7600,306,4000,7400,-
920,DSW,U.S.,Specialty Retailers: Apparel,2620,136 ,1369,2264,11900
921,DTE Energy,United States,Electric Utilities,10400,727,28700,15400,-
922,Dubai Islamic Bank,United Arab Emirates,Regional Banks,2000,867,40800,6600,-
923,Dufry AG,Switzerland,Specialty Stores,6400,-82,10300,7100,-
924,Duke Energy,United States,Electric Utilities,23400,2800,121200,53100,-
925,DuPont,U.S.,Chemicals,27940,1953,41166,-,52000
926,DVB Bank,Germany,Regional Banks,1300,51,28900,1300,-
927,Dymatic Chemicals,CHINA / HONG KONG,-,333,45,-,657,-
928,Dynegy,U.S.,Energy,3870,50 ,11539,1685,2591
929,DZ Bank,Germany,Banks: Commercial and Savings,31195,1571,443540,-,28213
930,E&J Gallo Winery,United States,"Food, Drink & Tobacco",4300,-,-,-,5000
931,E.ON,Germany,Electric Utilities,128900,-7800,133900,20900,-
932,E.Sun Financial,Taiwan,Regional Banks,1700,404,54000,4300,-
933,EADS,France,Aerospace & Defense,71500,3000,122400,50900,-
934,Early Upgrade,United States,Trading Companies,25 ,-,-,-,14
935,East Japan Railway,Japan,Railroads,23500,1900,63100,36200,-
936,East Money Information,China,Computer Services,458,294,3700,11200,-
937,East West Bancorp,United States,Regional Banks,1200,392,33100,5500,-
938,Eastern Polymer Group,THAILAND,-,251,40,-,1026,-
939,Eastman Chemical,United States,Specialized Chemicals,9600,848,15600,11300,-
940,EasyJet,United Kingdom,Airline,7200,846,7300,8300,-
941,Eaton,Ireland,Other Industrial Equipment,20900,2000,31000,28900,-
942,eBay,United States,Internet & Catalog Retail,13100,1700,17800,27900,-
943,Ebsco Industries,United States,Multicompany,2500,-,-,-,5700
944,Eby-Brown,United States,"Food, Drink & Tobacco",5300,-,-,-,2150
945,EchoStar,U.S.,Network and Other Communications Equipment,3144,153 ,7241,4133,4400
946,Eclat Textile,TAIWAN,-,804,131,-,3066,-
947,Ecolab,United States,Specialized Chemicals,13500,1000,18600,34100,-
948,Ecopetrol,Colombia,Oil & Gas Operations,18900,-1500,38700,20000,-
949,e-Credible,SOUTH KOREA,-,23,7,-,129,-
950,Edeka Zentrale,Germany,Wholesalers: Food and Grocery,32017,277 ,6791,-,346800
951,EDF,France,Electric Utilities,83200,661,303000,25600,-
952,Edgewell Personal Care,U.S.,Household and Personal Products,2421,(275),4992,4780,6000
953,Edison International,United States,Electric Utilities,11500,1000,50300,22400,-
954,EDP-Energias de Portugal,Portugal,Electric Utilities,17200,1100,46200,12600,-
955,Edward Jones,United States,Diversified Financials,6600,-,-,-,41000
956,Edwards Lifesciences,United States,Medical Equipment & Supplies,2500,495,4100,22900,-
957,EI du Pont de Nemours,United States,Diversified Chemicals,27900,2000,41200,57500,-
958,Eiffage,France,Construction Services,15600,346,30500,7000,-
959,Eisai,Japan,Pharmaceuticals,4700,371,8500,19400,-
960,E-L Financial,Canada,Diversified Insurance,1500,418,13700,2200,-
961,El Puerto de Liverpool,Mexico,Department Stores,5700,580,6700,15900,-
962,Electric Power Development,Japan,Electric Utilities,6500,361,21200,5600,-
963,Electrolux Group,Sweden,Household Appliances,14600,186,9900,8200,-
964,Electronic Arts,United States,Real Estate,4300,652,6500,20400,-
965,Eletrobr®¢s,Brazil,Electric Utilities,9800,-4300,37800,3300,-
966,Eli Lilly,United States,Pharmaceuticals,20000,2400,35600,86000,-
967,Emaar Properties,United Arab Emirates,Real Estate,3900,1100,21700,13500,-
968,Emailage Corp,United States,IT Software & Services,1 ,-,-,-,14
969,E-mart,South Korea,Discount Stores,12100,402,12400,4400,-
970,EMC,United States,Computer Storage Devices,24600,2000,45700,51900,-
971,EMCOR Group,U.S.,"Engineering, Construction",6723,172 ,3547,2948,29000
972,Emerson Electric,United States,Electrical Equipment,21400,2500,21600,35700,-
973,Emirates Integrated Telecom,United Arab Emirates,Telecommunications services,3400,529,4900,8200,-
974,Emirates NBD,United Arab Emirates,Regional Banks,5300,1800,112900,12700,-
975,Emperor Capital Group,CHINA / HONG KONG,-,109,56,-,537,-
976,Empire,Canada,Food Retail,18600,-874,7200,4500,-
977,Empresas CMPC,Chile,Forest Products,4800,285,14800,5400,-
978,EMS-Chemie Holding,Switzerland,Specialized Chemicals,2000,391,1900,11400,-
979,Enable Midstream Partners,U.S.,Pipelines,2418,(752),11238,3616,1640
980,Enagas,Spain,Natural Gas Utilities,1300,458,8400,7100,-
981,Enbridge,Canada,Oil Services & Equipment,27400,196,60900,39300,-
982,EnBW-Energie Baden,Germany,Electric Utilities,23500,139,41500,7200,-
983,Endo,Ireland,Pharmaceuticals,3300,-1500,19400,7500,-
984,Enel,Italy,Electric Utilities,76900,2400,179000,44600,-
985,Energie Baden-W√ºrttemberg,Germany,Utilities,23480,139 ,41447,-,18763
986,Energy Future Holdings,U.S.,Energy,5370,"(5,342)",23330,-,8860
987,Energy Transfer Equity,U.S.,Pipelines,42126,1189,71189,-,30078
988,EnerSys,U.S.,"Electronics, Electrical Equip.",2506,181 ,2163,2420,9500
989,Engie,France,Energy,77520,"(5,122)",174507,-,154935
990,Eni,Italy,Oil & Gas Operations,87200,-9800,149800,57700,-
991,Enka,Turkey,Construction Services,4500,528,7100,7000,-
992,Entergy,United States,Electric Utilities,11300,-157,44600,13300,-
993,Entermate,South Korea,Computer Services,20300,-8300,11400,88,-
994,Enterprise Holdings,United States,Services,19400,-,-,-,91000
995,Enterprise Products Partners,U.S.,Pipelines,27028,2521,48952,-,6800
996,Envision Healthcare Holdings,U.S.,Health Care: Pharmacy and Other Services,5448,145 ,6388,3816,40888
997,EOG Resources,United States,Oil & Gas Operations,8700,-4500,27000,44500,-
998,EP Energy,U.S.,"Mining, Crude-Oil Production",1908,"(3,748)",5833,1143,665
999,EQT,United States,Oil & Gas Operations,1800,85,14800,10900,-
1000,Equifax,United States,Business & Personal Services,2700,429,4500,13800,-
1001,Equinix,United States,Computer Services,2700,188,10400,22200,-
1002,Equity Residential,United States,Real Estate,2700,532,23200,25800,-
1003,Ericsson,Sweden,Communications Equipment,29000,1700,34600,27400,-
1004,Erie Insurance Group,U.S.,Insurance: Property and Casualty (Stock),6351,175 ,18272,-,4800
1005,Ernst & Young,United States,Business Services & Supplies,28700,-,-,-,212000
1006,Erste Group Bank,Austria,Regional Banks,9800,1100,218100,12600,-
1007,Essendant,U.S.,Wholesalers: Electronics and Office Equipment,5363,(44),2263,1191,6400
1008,Essex Property Trust,United States,Real Estate,1200,232,12000,14700,-
1009,Essilor International,France,Medical Equipment & Supplies,7400,840,13000,28100,-
1010,Estee Lauder,U.S.,Household and Personal Products,10780,1089,8239,34760,44000
1011,Est®¶e Lauder,United States,Household/Personal Care,11100,1200,8600,34600,-
1012,Estes Express Lines,United States,Transportation,2200,-,-,-,16375
1013,Etisalat,United Arab Emirates,Telecommunications services,14100,2200,34900,45200,-
1014,E-Trade Financial,United States,Investment Services,1600,381,47900,7300,-
1015,Eurazeo,France,Investment Services,4200,1400,8000,4900,-
1016,Eurobank Ergasias,Greece,Regional Banks,3400,-1300,79900,2200,-
1017,Eutelsat Communications,France,Broadcasting & Cable,1700,424,8600,7100,-
1018,Everbright Securities,China,Investment Services,2600,1200,30300,11000,-
1019,Everest Re Group,Bermuda,Diversified Insurance,6000,968,21400,8200,-
1020,Evergrande Real Estate,China,Real Estate,21600,1700,116600,10000,-
1021,Eversource Energy,United States,Electric Utilities,8000,879,30600,17600,-
1022,Evolent Health,United States,Health Care Equipment & Svcs,100 ,-,-,-,735
