,_id,ltable_id,rtable_id,ltable_Country,ltable_Industry,ltable_MarketValue,ltable_Name,rtable_Name,rtable_Country,rtable_Sector,rtable_Industry,rtable_MarketValue
27474,27474,2704,2968,United States,Retailing,-,New Balance,New Residential Investment Corp.,United States,Consumer Services,Real Estate Investment Trusts,5218.533307
27487,27487,1842,2968,United States,"Insurance: Life, Health (Mutual)",-,New York Life Insurance,New Residential Investment Corp.,United States,Consumer Services,Real Estate Investment Trusts,5218.533307
27489,27489,2997,2968,United States,Thrifts & Mortgage Finance,7400,New York Community,New Residential Investment Corp.,United States,Consumer Services,Real Estate Investment Trusts,5218.533307
27496,27496,2704,2969,United States,Retailing,-,New Balance,New Senior Investment Group Inc.,United States,Consumer Services,Real Estate Investment Trusts,837.8404032000001
27502,27502,1433,2969,United States,Energy,3130,New Jersey Resources,New Senior Investment Group Inc.,United States,Consumer Services,Real Estate Investment Trusts,837.8404032000001
27516,27516,1842,2969,United States,"Insurance: Life, Health (Mutual)",-,New York Life Insurance,New Senior Investment Group Inc.,United States,Consumer Services,Real Estate Investment Trusts,837.8404032000001
27518,27518,2997,2969,United States,Thrifts & Mortgage Finance,7400,New York Community,New Senior Investment Group Inc.,United States,Consumer Services,Real Estate Investment Trusts,837.8404032000001
27528,27528,2704,2970,United States,Retailing,-,New Balance,"New York & Company, Inc.",United States,Consumer Services,Clothing/Shoe/Accessory Stores,125.67179240000002
27530,27530,1842,2970,United States,"Insurance: Life, Health (Mutual)",-,New York Life Insurance,"New York & Company, Inc.",United States,Consumer Services,Clothing/Shoe/Accessory Stores,125.67179240000002
27532,27532,2997,2970,United States,Thrifts & Mortgage Finance,7400,New York Community,"New York & Company, Inc.",United States,Consumer Services,Clothing/Shoe/Accessory Stores,125.67179240000002
27535,27535,1433,2970,United States,Energy,3130,New Jersey Resources,"New York & Company, Inc.",United States,Consumer Services,Clothing/Shoe/Accessory Stores,125.67179240000002
27542,27542,2704,2971,United States,Retailing,-,New Balance,"New York Community Bancorp, Inc.",United States,Finance,Banks,6823.815774
27544,27544,1842,2971,United States,"Insurance: Life, Health (Mutual)",-,New York Life Insurance,"New York Community Bancorp, Inc.",United States,Finance,Banks,6823.815774
27546,27546,2997,2971,United States,Thrifts & Mortgage Finance,7400,New York Community,"New York Community Bancorp, Inc.",United States,Finance,Banks,6823.815774
27549,27549,1433,2971,United States,Energy,3130,New Jersey Resources,"New York Community Bancorp, Inc.",United States,Finance,Banks,6823.815774
27561,27561,1433,2972,United States,Energy,3130,New Jersey Resources,"New York Mortgage Trust, Inc.",United States,Consumer Services,Real Estate Investment Trusts,688.9543338
27571,27571,1842,2972,United States,"Insurance: Life, Health (Mutual)",-,New York Life Insurance,"New York Mortgage Trust, Inc.",United States,Consumer Services,Real Estate Investment Trusts,688.9543338
27572,27572,2704,2972,United States,Retailing,-,New Balance,"New York Mortgage Trust, Inc.",United States,Consumer Services,Real Estate Investment Trusts,688.9543338
27573,27573,2997,2972,United States,Thrifts & Mortgage Finance,7400,New York Community,"New York Mortgage Trust, Inc.",United States,Consumer Services,Real Estate Investment Trusts,688.9543338
27582,27582,2704,2973,United States,Retailing,-,New Balance,New York Times Company (The),United States,Consumer Services,Newspapers/Magazines,2325.763541
27584,27584,1842,2973,United States,"Insurance: Life, Health (Mutual)",-,New York Life Insurance,New York Times Company (The),United States,Consumer Services,Newspapers/Magazines,2325.763541
27586,27586,2997,2973,United States,Thrifts & Mortgage Finance,7400,New York Community,New York Times Company (The),United States,Consumer Services,Newspapers/Magazines,2325.763541
27589,27589,1433,2973,United States,Energy,3130,New Jersey Resources,New York Times Company (The),United States,Consumer Services,Newspapers/Magazines,2325.763541
27593,27593,1795,2974,United States,Household/Personal Care,21800,Newell Rubbermaid,Newell Brands Inc.,United States,Consumer Non-Durables,Plastic Products,22754.807999999997
27600,27600,1720,2974,United States,"Home Equipment, Furnishings",11873,Newell Brands,Newell Brands Inc.,United States,Consumer Non-Durables,Plastic Products,22754.807999999997
27616,27616,1433,2976,United States,Energy,3130,New Jersey Resources,NewJersey Resources Corporation,United States,Public Utilities,Oil/Gas Transmission,3418.0031950000002
27630,27630,842,2978,United States,Chemicals,4696,NewMarket,NewMarket Corporation,United States,Basic Industries,Major Chemicals,5371.997861
27636,27636,1239,2979,United States,Diversified Metals & Mining,16600,Newmont Mining,Newmont Mining Corporation,United States,Basic Industries,Precious Metals,17518.2105
27651,27651,1433,2980,United States,Energy,3130,New Jersey Resources,"Newpark Resources, Inc.",United States,Energy,Metal Fabrications,686.4433938
27665,27665,2556,2981,United States,"Publishing, Printing",7412,News Corp.,News Corporation,United States,Consumer Services,Newspapers/Magazines,7850.128932
27666,27666,728,2981,United States,Broadcasting & Cable,7500,News Corp,News Corporation,United States,Consumer Services,Newspapers/Magazines,7850.128932
27667,27667,2556,2982,United States,"Publishing, Printing",7412,News Corp.,News Corporation,United States,Consumer Services,Newspapers/Magazines,7559.383416
27668,27668,728,2982,United States,Broadcasting & Cable,7500,News Corp,News Corporation,United States,Consumer Services,Newspapers/Magazines,7559.383416
27696,27696,3092,2985,United States,Wholesalers: Diversified,-,Nexeo Solutions Holdings,"Nexeo Solutions, Inc.",United States,Consumer Durables,Specialty Chemicals,791.9751223
27724,27724,1333,2988,United States,Electric Utilities,52800,NextEra Energy,"NextEra Energy Partners, LP",United States,Public Utilities,Electric Utilities: Central,1797.2264670000002
27735,27735,1333,2989,United States,Electric Utilities,52800,NextEra Energy,"NextEra Energy, Inc.",United States,Public Utilities,Electric Utilities: Central,60098.7811
27748,27748,3093,2991,United States,Wholesalers: Diversified,805,NGL Energy Partners,NGL ENERGY PARTNERS LP,United States,Energy,Oil Refining/Marketing,2489.810541
27749,27749,2959,2996,United States,Telecommunications services,557,NII Holdings,"NII Holdings, Inc.",United States,Public Utilities,Telecommunications Equipment,125.97343000000001
27750,27750,573,2997,United States,Apparel/Accessories,100100,Nike,"Nike, Inc.",United States,Consumer Non-Durables,Shoe Manufacturing,92204.01045
27751,27751,1843,2998,Japan,"Insurance: Life, Health (Mutual)",-,Nippon Life Insurance,Nippon Telegraph and Telephone Corporation,Japan,Public Utilities,Telecommunications Equipment,87177.42606
27752,27752,2924,2998,Japan,Telecommunications,-,Nippon Telegraph & Telephone,Nippon Telegraph and Telephone Corporation,Japan,Public Utilities,Telecommunications Equipment,87177.42606
27754,27754,3048,2998,Japan,Trucking,4800,Nippon Express,Nippon Telegraph and Telephone Corporation,Japan,Public Utilities,Telecommunications Equipment,87177.42606
27755,27755,2426,2998,Japan,Other Transportation,3700,Nippon Yusen,Nippon Telegraph and Telephone Corporation,Japan,Public Utilities,Telecommunications Equipment,87177.42606
27758,27758,1996,2998,Japan,Iron & Steel,21800,Nippon Steel & Sumitomo Metal,Nippon Telegraph and Telephone Corporation,Japan,Public Utilities,Telecommunications Equipment,87177.42606
27759,27759,1240,2998,Japan,Diversified Metals & Mining,1100,Nippon Steel Trading,Nippon Telegraph and Telephone Corporation,Japan,Public Utilities,Telecommunications Equipment,87177.42606
27760,27760,2960,2998,Japan,Telecommunications services,94500,Nippon Telegraph & Tel,Nippon Telegraph and Telephone Corporation,Japan,Public Utilities,Telecommunications Equipment,87177.42606
27761,27761,2263,2999,United States,Natural Gas Utilities,7100,NiSource,"NiSource, Inc",United States,Public Utilities,Power Generation,7694.776081999999
27813,27813,2323,3005,United States,Oil & Gas Operations,15600,Noble Energy,Noble Energy Inc.,United States,Energy,Oil & Gas Production,14954.448209999999
27820,27820,2323,3006,United States,Oil & Gas Operations,15600,Noble Energy,Noble Midstream Partners LP,United States,Energy,Natural Gas Distribution,1656.413149
27832,27832,590,3010,United States,Apparel/Footwear Retail,8900,Nordstrom,"Nordstrom, Inc.",United States,Consumer Services,Clothing/Shoe/Accessory Stores,7770.262806000001
27833,27833,2570,3011,United States,Railroads,27100,Norfolk Southern,Norfolk Souther Corporation,United States,Transportation,Railroads,34790.63583
27836,27836,212,3013,United States, Banks,16600,Northern Trust,North European Oil Royality Trust,United States,Energy,Oil & Gas Production,66.3560598
27849,27849,212,3015,United States, Banks,16600,Northern Trust,"Northern Oil and Gas, Inc.",United States,Energy,Oil & Gas Production,164.794695
27850,27850,2455,3015,United States,Petroleum Refining,2194,Northern Tier Energy,"Northern Oil and Gas, Inc.",United States,Energy,Oil & Gas Production,164.794695
27854,27854,2455,3016,United States,Petroleum Refining,2194,Northern Tier Energy,Northern Technologies International Corporation,United States,Capital Goods,Industrial Specialties,82.55807765
27904,27904,212,3016,United States, Banks,16600,Northern Trust,Northern Technologies International Corporation,United States,Capital Goods,Industrial Specialties,82.55807765
27936,27936,212,3017,United States, Banks,16600,Northern Trust,Northern Trust Corporation,United States,Finance,Major Banks,19868.8055
27937,27937,2455,3017,United States,Petroleum Refining,2194,Northern Tier Energy,Northern Trust Corporation,United States,Finance,Major Banks,19868.8055
27948,27948,212,3018,United States, Banks,16600,Northern Trust,Northern Trust Corporation,United States,Finance,Major Banks,434.8784
27949,27949,2455,3018,United States,Petroleum Refining,2194,Northern Tier Energy,Northern Trust Corporation,United States,Finance,Major Banks,434.8784
27952,27952,493,3021,United States,Aerospace & Defense,36400,Northrop Grumman,Northrop Grumman Corporation,United States,Capital Goods,Industrial Machinery/Components,41526.72272
27969,27969,1844,3026,United States,"Insurance: Life, Health (Mutual)",-,Northwestern Mutual,NorthWestern Corporation,United States,Public Utilities,Power Generation,2837.2789399999997
27976,27976,1334,3035,United States,Electric Utilities,4500,NRG Energy,"NRG Energy, Inc.",United States,Public Utilities,Electric Utilities: Central,5910.706996
27977,27977,1334,3036,United States,Electric Utilities,4500,NRG Energy,"NRG Yield, Inc.",United States,Public Utilities,Electric Utilities: Central,3236.507906
27985,27985,1769,3039,United States,Household and Personal Products,2142,Nu Skin Enterprises,"Nu Skin Enterprises, Inc.",United States,Health Care,Other Pharmaceuticals,2933.733214
28009,28009,1998,3041,United States,Iron & Steel,15800,Nucor,Nucor Corporation,United States,Basic Industries,Steel/Iron Ore,19050.45277
28010,28010,2518,3043,United States,Pipelines,3147,NuStar Energy,Nustar Energy L.P.,United States,Energy,Natural Gas Distribution,4088.5294200000003
28012,28012,2518,3044,United States,Pipelines,3147,NuStar Energy,"Nustar GP Holdings, LLC",United States,Energy,Natural Gas Distribution,1200.501385
28298,28298,2746,3118,United States,Semiconductors,19800,NVIDIA,NVIDIA Corporation,United States,Technology,Semiconductors,64159.77
28299,28299,1045,3119,United States,Construction Services,6600,"NVR,","NVR, Inc.",United States,Capital Goods,Homebuilding,7804.317537000001
28300,28300,1735,3119,United States,Homebuilders,6724,NVR,"NVR, Inc.",United States,Capital Goods,Homebuilding,7804.317537000001
28351,28351,2325,3127,United States,Oil & Gas Operations,57900,Occidental Petroleum,Occidental Petroleum Corporation,United States,Energy,Oil & Gas Production,48443.75554
28397,28397,2368,3130,United States,"Oil and Gas Equipment, Services",3253,Oceaneering International,"Oceaneering International, Inc.",United States,Energy,Oilfield Services/Equipment,2655.795041
28454,28454,2897,3139,United States,Specialty Stores,3400,Office Depot,"Office Depot, Inc.",United States,Consumer Services,Other Specialty Stores,2399.064397
28468,28468,3070,3141,United States,Utilities: Gas and Electric,5718,OGE Energy,OGE Energy Corporation,United States,Public Utilities,Electric Utilities: Central,6985.644241
28578,28578,3053,3147,United States,"Trucking, Truck Leasing",5836,Old Dominion Freight Line,"Old Dominion Freight Line, Inc.",United States,Transportation,Trucking Freight/Courier Services,7056.635815000001
28579,28579,2547,3147,United States,Property & Casualty Insurance,4800,Old Republic International,"Old Dominion Freight Line, Inc.",United States,Transportation,Trucking Freight/Courier Services,7056.635815000001
28586,28586,3053,3148,United States,"Trucking, Truck Leasing",5836,Old Dominion Freight Line,"Old Line Bancshares, Inc.",United States,Finance,Major Banks,308.81120710000005
28587,28587,2547,3148,United States,Property & Casualty Insurance,4800,Old Republic International,"Old Line Bancshares, Inc.",United States,Finance,Major Banks,308.81120710000005
28611,28611,3053,3149,United States,"Trucking, Truck Leasing",5836,Old Dominion Freight Line,Old National Bancorp,United States,Finance,Major Banks,2341.9158429999998
28614,28614,2547,3149,United States,Property & Casualty Insurance,4800,Old Republic International,Old National Bancorp,United States,Finance,Major Banks,2341.9158429999998
28629,28629,3053,3150,United States,"Trucking, Truck Leasing",5836,Old Dominion Freight Line,Old Point Financial Corporation,United States,Finance,Major Banks,150.0088226
28630,28630,2547,3150,United States,Property & Casualty Insurance,4800,Old Republic International,Old Point Financial Corporation,United States,Finance,Major Banks,150.0088226
28700,28700,3053,3151,United States,"Trucking, Truck Leasing",5836,Old Dominion Freight Line,Old Republic International Corporation,United States,Finance,Property-Casualty Insurers,5382.413906000001
28703,28703,2547,3151,United States,Property & Casualty Insurance,4800,Old Republic International,Old Republic International Corporation,United States,Finance,Property-Casualty Insurers,5382.413906000001
28712,28712,3053,3152,United States,"Trucking, Truck Leasing",5836,Old Dominion Freight Line,"Old Second Bancorp, Inc.",United States,Finance,Major Banks,332.50743
28713,28713,2547,3152,United States,Property & Casualty Insurance,4800,Old Republic International,"Old Second Bancorp, Inc.",United States,Finance,Major Banks,332.50743
28715,28715,843,3153,United States,Chemicals,2868,Olin,Olin Corporation,United States,Basic Industries,Major Chemicals,5443.758049
28745,28745,480,3162,United States,advertising,20000,Omnicom Group,Omnicom Group Inc.,United States,Technology,Advertising,20218.85251
28765,28765,2761,3166,United States,Semiconductors and Other Electronic Components,3952,ON Semiconductor,ON Semiconductor Corporation,United States,Technology,Semiconductors,6499.77219
28829,28829,2802,3185,United States,Software & Programming,168900,Oracle,Oracle Corporation,United States,Technology,Computer Software: Prepackaged Software,183556.0532
28830,28830,510,3189,United States,Aerospace and Defense,5098,Orbital ATK,"Orbital ATK, Inc.",United States,Capital Goods,Military/Government/Technical,5738.6007
28861,28861,1961,3194,China,Investment Services,15100,Orient Securities,"Orient Paper, Inc.",China,Consumer Durables,Containers/Packaging,21.16717183
28867,28867,1093,3200,Japan,Consumer Financial Services,19800,Orix,Orix Corp Ads,Japan,Finance,Diversified Financial Services,19683.907069999997
28891,28891,2236,3203,United States,Motor Vehicles and Parts,2988,Oshkosh,Oshkosh Corporation,United States,Capital Goods,Auto Manufacturing,5117.59915
28892,28892,1632,3204,United States,"Food, Drink & Tobacco",-,OSI Group,"OSI Systems, Inc.",United States,Technology,Semiconductors,1364.154275
28906,28906,3108,3213,United States,Wholesalers: Health Care,2540,Owens & Minor,"Owens & Minor, Inc.",United States,Health Care,Medical Specialities,2114.30265
28907,28907,740,3213,United States,"Building Materials, Glass",5480,Owens Corning,"Owens & Minor, Inc.",United States,Health Care,Medical Specialities,2114.30265
28908,28908,3108,3214,United States,Wholesalers: Health Care,2540,Owens & Minor,Owens Corning Inc,United States,Capital Goods,Industrial Machinery/Components,6910.154356999999
28910,28910,740,3214,United States,"Building Materials, Glass",5480,Owens Corning,Owens Corning Inc,United States,Capital Goods,Industrial Machinery/Components,6910.154356999999
28912,28912,3108,3215,United States,Wholesalers: Health Care,2540,Owens & Minor,"Owens Realty Mortgage, Inc.",United States,Consumer Services,Real Estate Investment Trusts,182.3966
28914,28914,740,3215,United States,"Building Materials, Glass",5480,Owens Corning,"Owens Realty Mortgage, Inc.",United States,Consumer Services,Real Estate Investment Trusts,182.3966
28920,28920,2438,3216,United States,"Packaging, Containers",2569,Owens-Illinois,"Owens-Illinois, Inc.",United States,Consumer Durables,Containers/Packaging,3308.77505
29068,29068,1857,3224,United States,"Insurance: Life, Health (stock)",-,Pacific Life,"Pacific American Income Shares, Inc.",United States,n/a,n/a,137.2132144
29080,29080,2456,3224,United States,Petroleum Refining,771,Par Pacific Holdings,"Pacific American Income Shares, Inc.",United States,n/a,n/a,137.2132144
29099,29099,1857,3225,United States,"Insurance: Life, Health (stock)",-,Pacific Life,"Pacific Biosciences of California, Inc.",United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments,478.9264173
29108,29108,2456,3225,United States,Petroleum Refining,771,Par Pacific Holdings,"Pacific Biosciences of California, Inc.",United States,Capital Goods,Biotechnology: Laboratory Analytical Instruments,478.9264173
29111,29111,1857,3226,United States,"Insurance: Life, Health (stock)",-,Pacific Life,Pacific Coast Oil Trust,United States,Energy,Oil & Gas Production,72.53633704
29121,29121,2456,3226,United States,Petroleum Refining,771,Par Pacific Holdings,Pacific Coast Oil Trust,United States,Energy,Oil & Gas Production,72.53633704
29133,29133,1857,3227,United States,"Insurance: Life, Health (stock)",-,Pacific Life,Pacific Continental Corporation (Ore),United States,Finance,Major Banks,554.7474375
29146,29146,2456,3227,United States,Petroleum Refining,771,Par Pacific Holdings,Pacific Continental Corporation (Ore),United States,Finance,Major Banks,554.7474375
29151,29151,1857,3228,United States,"Insurance: Life, Health (stock)",-,Pacific Life,"Pacific Ethanol, Inc.",United States,Basic Industries,Major Chemicals,296.9572818
29160,29160,2456,3228,United States,Petroleum Refining,771,Par Pacific Holdings,"Pacific Ethanol, Inc.",United States,Basic Industries,Major Chemicals,296.9572818
29164,29164,1857,3229,United States,"Insurance: Life, Health (stock)",-,Pacific Life,Pacific Gas & Electric Co.,United States,Public Utilities,Power Generation,33696.43004
29180,29180,2456,3229,United States,Petroleum Refining,771,Par Pacific Holdings,Pacific Gas & Electric Co.,United States,Public Utilities,Power Generation,33696.43004
29184,29184,1857,3230,United States,"Insurance: Life, Health (stock)",-,Pacific Life,Pacific Mercantile Bancorp,United States,Finance,Major Banks,173.7510675
29193,29193,2456,3230,United States,Petroleum Refining,771,Par Pacific Holdings,Pacific Mercantile Bancorp,United States,Finance,Major Banks,173.7510675
29196,29196,1857,3231,United States,"Insurance: Life, Health (stock)",-,Pacific Life,Pacific Premier Bancorp Inc,United States,Finance,Major Banks,1075.892914
29205,29205,2456,3231,United States,Petroleum Refining,771,Par Pacific Holdings,Pacific Premier Bancorp Inc,United States,Finance,Major Banks,1075.892914
29211,29211,1449,3232,China,"Engineering, Construction",-,Pacific Construction Group,Pacific Special Acquisition Corp.,China,Finance,Business Services,79.89553125
29223,29223,2439,3234,United States,"Packaging, Containers",5693,Packaging Corp. of America,Packaging Corporation of America,United States,Consumer Durables,Containers/Packaging,8631.179740000001
29234,29234,217,3235,United States, Banks,4900,PacWest Bancorp,PacWest Bancorp,United States,Finance,Major Banks,6467.210222
29235,29235,866,3238,United States,Communications Equipment,13100,"Palo Alto Networks,","Palo Alto Networks, Inc.",United States,Technology,Computer peripheral equipment,10370.64555
29253,29253,1605,3240,United States,Food Services,4993,Panera Bread,Panera Bread Company,United States,Consumer Services,Restaurants,5950.545334
29322,29322,1682,3243,United States,Health Care: Pharmacy and Other Services,3368,Parexel International,"Papa John&#39;s International, Inc.",United States,Consumer Services,Restaurants,2947.712744
29335,29335,1857,3245,United States,"Insurance: Life, Health (stock)",-,Pacific Life,"Par Pacific Holdings, Inc.",United States,Energy,Oil & Gas Production,750.9259239
29344,29344,2456,3245,United States,Petroleum Refining,771,Par Pacific Holdings,"Par Pacific Holdings, Inc.",United States,Energy,Oil & Gas Production,750.9259239
29433,29433,2866,3253,United States,Specialty Retailers: Other,1794,Party City Holdco,"Park City Group, Inc.",United States,Technology,EDP Services,239.4067384
29469,29469,2398,3260,United States,Other Industrial Equipment,15400,Parker-Hannifin,Parker-Hannifin Corporation,United States,Capital Goods,Metal Fabrications,21369.64486
29470,29470,2866,3263,United States,Specialty Retailers: Other,1794,Party City Holdco,Party City Holdco Inc.,United States,Consumer Services,Other Specialty Stores,1679.324199
29588,29588,3109,3270,United States,Wholesalers: Health Care,4611,Patterson,"Patterson Companies, Inc.",United States,Health Care,Medical Specialities,4393.37082
29590,29590,759,3273,United States,Business & Personal Services,18800,Paychex,"Paychex, Inc.",United States,Consumer Services,Diversified Commercial Services,21135.8633
29598,29598,1476,3276,United States,Financial Data Services,B+,PayPal Holdings,"PayPal Holdings, Inc.",United States,Miscellaneous,Business Services,51950.23073
29599,29599,1094,3276,United States,Consumer Financial Services,48900,PayPal,"PayPal Holdings, Inc.",United States,Miscellaneous,Business Services,51950.23073
29600,29600,2329,3278,United States,Oil & Gas Operations,3300,PBF Energy,PBF Energy Inc.,United States,Energy,Integrated oil Companies,2422.819474
29601,29601,2867,3279,United States,Specialty Retailers: Other,684,PC Connection,"PC Connection, Inc.",United States,Consumer Services,Catalog/Specialty Distribution,797.0332886
29623,29623,1858,3292,United States,"Insurance: Life, Health (stock)",-,Penn Mutual Life Insurance,"Penn National Gaming, Inc.",United States,Consumer Services,Hotels/Resorts,1675.919529
29635,29635,1753,3292,United States,"Hotels, Casinos, Resorts",1357,Penn National Gaming,"Penn National Gaming, Inc.",United States,Consumer Services,Hotels/Resorts,1675.919529
29657,29657,1753,3293,United States,"Hotels, Casinos, Resorts",1357,Penn National Gaming,Penn Virginia Corporation,United States,Energy,Oil & Gas Production,674.64081
29658,29658,1858,3293,United States,"Insurance: Life, Health (stock)",-,Penn Mutual Life Insurance,Penn Virginia Corporation,United States,Energy,Oil & Gas Production,674.64081
29779,29779,647,3301,United States,"Automotive Retailing, Services",3269,Penske Automotive Group,"Penske Automotive Group, Inc.",United States,Consumer Durables,Automotive Aftermarket,4001.051889
29783,29783,2900,3301,United States,Specialty Stores,3100,Penske Automotive,"Penske Automotive Group, Inc.",United States,Consumer Durables,Automotive Aftermarket,4001.051889
29797,29797,2998,3302,United States,Thrifts & Mortgage Finance,5000,People's United Financial,"People&#39;s United Financial, Inc.",United States,Finance,Savings Institutions,5768.187916
